Weight,Gpu,Company,Inches,ScreenResolution,Ram,Memory,TypeName,Product,OpSys,Cpu,target
113,44,10,15.6,0,5,10,3,208,4,113,359.99
30,53,7,13.3,7,1,16,0,114,5,99,1975.0
113,68,16,15.6,15,8,16,3,411,5,89,1043.0
121,72,10,15.6,8,8,5,3,209,5,74,819.0
74,47,7,15.6,8,5,10,3,50,5,56,469.0
22,61,4,13.3,11,1,12,4,576,5,106,2499.0
31,61,7,13.3,11,1,12,0,421,5,106,2449.0
92,75,4,15.6,5,4,12,3,577,5,102,2639.0
96,53,16,15.6,15,8,16,3,411,5,74,943.0
48,53,7,14.0,8,8,16,3,111,5,78,1268.0
113,40,4,15.6,0,5,26,3,238,2,36,274.9
113,7,10,15.6,8,0,22,3,206,5,5,899.0
105,70,7,15.6,15,8,10,3,363,5,59,716.0
32,61,4,13.3,8,8,16,4,576,5,106,1579.0
124,76,10,15.6,15,1,20,1,291,5,102,1129.0
87,7,4,15.6,8,8,10,4,247,5,83,663.0
92,75,4,15.6,5,1,29,3,577,5,102,2027.42
113,43,10,15.6,0,5,10,3,208,4,37,321.99
132,75,4,15.6,8,8,10,1,258,5,77,999.0
118,53,4,15.6,36,8,22,3,239,5,74,557.37
74,47,7,15.6,0,5,26,3,50,5,56,439.0
74,53,7,15.6,8,8,10,3,50,5,74,639.0
113,67,10,15.6,0,8,16,3,211,4,56,499.0
144,7,4,17.3,8,8,5,3,252,5,83,1085.0
124,75,10,15.6,15,8,5,1,291,4,77,809.0
105,17,0,15.6,0,5,4,3,58,5,14,426.0
57,61,4,13.3,7,8,16,0,244,5,106,869.01
43,53,10,14.0,39,1,29,0,472,5,97,2509.0
113,97,0,15.6,9,0,10,3,59,5,83,693.99
113,43,10,15.6,0,5,10,3,208,5,37,306.0
113,47,10,15.6,8,5,26,3,211,5,56,409.0
121,24,4,15.6,8,5,16,3,239,2,74,598.9
44,47,7,14.0,8,8,16,4,109,5,89,1500.0
130,76,4,15.6,15,8,5,1,258,5,102,1159.0
88,7,4,15.6,8,8,20,3,247,5,106,1142.4
62,53,4,14.0,8,8,16,4,279,2,99,1099.0
113,7,4,15.6,8,5,16,3,247,5,83,749.0
113,44,10,15.6,8,5,4,3,208,5,113,349.0
59,69,4,14.0,8,8,16,3,279,5,79,1179.0
114,53,7,15.6,15,8,29,5,366,5,104,1534.0
118,7,4,15.6,8,8,5,3,247,5,106,979.0
108,72,0,15.6,8,5,10,3,71,5,56,544.0
88,7,4,15.6,8,8,22,3,247,5,83,759.0
31,61,7,13.3,11,8,29,0,421,5,106,1999.0
113,6,4,15.6,8,8,10,3,240,5,83,675.0
102,53,4,15.6,0,5,10,3,547,5,59,586.6
49,61,7,13.3,15,5,4,3,361,5,83,726.0
92,75,4,15.6,8,1,29,3,577,5,102,1899.0
48,53,7,14.0,8,8,12,3,111,5,99,1749.0
50,53,10,13.3,15,8,16,3,453,5,59,949.0
45,53,10,13.3,8,8,16,3,453,5,74,949.0
124,79,10,15.6,15,8,18,1,291,4,102,1149.0
31,53,4,13.3,13,8,4,4,576,5,74,899.0
102,53,4,15.6,8,8,10,3,551,5,74,836.0
113,7,4,15.6,8,1,20,3,247,5,106,1219.24
59,53,4,14.0,8,8,16,3,279,5,78,1279.73
58,47,7,15.6,0,5,4,3,362,5,56,689.0
144,7,4,17.3,15,8,5,3,252,2,83,889.0
113,66,10,15.6,8,5,10,3,209,5,97,799.0
113,67,10,15.6,0,8,22,3,211,4,56,459.0
121,24,4,15.6,8,5,26,3,239,5,74,585.0
87,53,4,15.6,8,8,16,3,281,5,79,1377.0
173,80,4,17.3,15,1,5,1,56,5,102,3012.77
96,53,16,15.6,15,8,26,3,411,5,74,860.0
81,69,4,15.6,8,8,16,3,281,5,99,1369.0
113,7,4,15.6,8,8,16,3,247,5,83,797.41
74,42,7,15.6,8,5,16,3,50,5,112,398.99
32,61,4,13.3,31,8,16,4,576,5,106,1399.0
105,53,7,15.6,8,5,4,3,363,5,59,705.5
74,47,7,15.6,8,5,26,3,50,5,56,397.0
113,47,10,15.6,8,5,4,3,211,5,56,499.0
87,53,4,15.6,8,8,16,3,281,5,74,1116.99
173,80,4,17.3,15,1,18,1,56,5,102,2699.0
144,72,10,17.3,2,7,5,3,212,5,97,949.0
102,22,4,15.6,0,5,10,3,547,5,56,617.9
22,61,4,13.3,11,8,4,4,576,5,83,1599.0
81,53,4,15.6,0,5,26,3,281,5,78,959.0
113,44,10,15.6,8,5,26,3,208,5,113,344.0
113,24,4,15.6,8,8,16,3,239,2,97,749.01
87,53,4,15.6,0,8,26,3,281,5,78,1008.52
49,53,7,13.3,8,5,4,3,361,5,59,719.0
81,69,4,15.6,8,1,16,3,281,5,99,1537.39
113,7,10,15.6,8,0,29,3,206,5,5,949.0
38,53,10,13.3,13,8,29,0,474,5,97,2025.0
92,108,4,15.6,7,8,16,5,350,5,102,1763.0
72,53,7,15.6,8,8,16,3,112,5,97,1219.0
105,53,7,15.6,0,5,26,3,363,5,59,668.48
102,22,4,15.6,0,5,10,3,547,2,56,465.0
124,53,10,15.6,8,7,10,3,203,5,74,564.0
102,47,4,15.6,0,5,10,3,547,2,54,443.9
110,47,4,15.6,0,5,10,3,239,2,54,359.0
81,53,4,15.6,0,5,26,3,281,2,78,869.0
102,22,4,15.6,8,5,4,3,547,2,74,569.0
72,53,7,15.6,8,8,29,4,112,5,97,1389.0
114,53,7,14.0,0,8,16,3,366,5,78,1124.0
113,7,4,15.6,8,5,10,3,247,5,83,776.0
76,47,7,15.6,0,5,26,3,112,7,68,932.0
113,66,10,15.6,8,8,10,3,209,5,97,899.0
113,53,10,15.6,8,5,4,3,210,4,74,468.0
148,75,4,15.6,8,8,16,3,577,5,102,1820.0
130,76,4,15.6,8,1,18,1,256,5,102,1479.0
24,61,4,13.3,31,8,16,4,576,5,83,1869.0
43,41,10,14.0,0,3,23,3,196,5,36,249.0
92,75,4,15.6,5,1,12,3,577,5,102,2399.0
44,40,10,14.0,0,5,23,3,196,5,36,274.0
83,79,14,14.0,8,1,16,1,85,5,102,2599.0
32,61,4,13.3,8,8,16,4,576,5,83,1449.9
74,47,7,15.6,0,5,26,3,50,4,56,364.9
113,7,4,15.6,8,8,16,3,247,5,106,919.0
113,7,4,15.6,8,1,20,3,247,5,106,1135.0
173,80,4,17.3,12,4,31,1,56,5,102,3147.37
113,47,10,15.6,8,5,26,3,211,5,68,535.0
105,47,0,15.6,0,5,4,3,58,2,56,412.0
74,6,7,15.6,0,5,26,3,50,5,74,612.61
113,24,4,15.6,0,5,10,3,239,5,56,545.67
43,53,10,14.0,39,8,16,0,472,5,97,2590.0
56,53,16,13.3,15,8,16,3,411,5,74,973.0
102,53,4,15.6,8,8,16,3,551,5,74,795.0
129,76,10,15.6,15,8,5,1,291,5,102,1249.0
59,69,4,14.0,8,8,16,3,279,2,79,1089.0
81,53,4,15.6,8,1,29,3,281,5,78,1426.66
87,53,4,15.6,8,8,16,3,281,5,78,1179.0
34,53,10,14.0,15,8,16,4,469,5,74,1499.0
113,7,4,15.6,8,8,5,3,247,5,83,719.0
115,30,4,15.6,0,8,10,3,245,2,74,589.52
110,53,4,15.6,0,0,10,3,239,5,74,649.0
45,53,10,13.3,15,8,16,3,453,5,74,960.0
148,47,4,15.6,0,8,16,3,547,5,56,665.0
74,47,7,15.6,8,8,16,3,50,5,56,539.0
62,53,4,14.0,0,8,16,3,279,5,74,1126.71
72,47,7,15.6,8,8,16,3,112,5,71,1900.0
173,80,4,15.6,12,1,18,1,56,5,102,2868.99
105,53,0,15.6,0,5,16,3,58,5,74,599.0
129,75,10,15.6,15,8,5,1,291,5,102,1048.0
121,30,4,15.6,8,1,16,3,245,5,97,1181.27
130,75,4,15.6,8,8,10,1,256,5,102,1099.0
28,47,7,12.5,0,5,16,4,110,5,68,1244.0
78,53,0,14.0,15,5,4,3,430,5,59,636.0
83,79,14,14.0,8,1,29,1,85,5,102,2899.0
70,53,10,14.0,8,1,29,4,469,5,97,2299.0
124,75,10,15.6,15,5,10,1,291,5,102,999.0
130,75,4,15.6,8,8,16,1,256,5,77,985.0
38,53,10,13.3,13,8,29,0,474,5,97,1970.0
43,53,10,14.0,30,8,16,0,472,5,74,2330.0
31,53,4,13.3,8,8,16,4,576,5,74,1499.0
92,75,4,15.6,5,8,16,3,577,5,77,1749.0
