iter	Passed	Remaining
402	7470	11066
403	7487	11046
404	7506	11028
405	7525	11010
406	7544	10991
407	7563	10973
408	7578	10950
409	7593	10926
410	7612	10909
411	7630	10890
412	7652	10876
413	7670	10857
414	7687	10836
415	7701	10811
416	7713	10784
417	7727	10758
418	7739	10731
419	7753	10706
420	7766	10680
421	7780	10656
422	7792	10629
423	7809	10609
424	7827	10590
425	7847	10574
426	7867	10557
427	7886	10539
428	7905	10522
429	7925	10506
430	7950	10495
431	7979	10491
432	8000	10476
433	8018	10457
434	8040	10443
435	8057	10423
436	8070	10397
437	8092	10383
438	8107	10360
439	8124	10340
440	8142	10321
441	8162	10304
442	8181	10287
443	8196	10263
444	8209	10238
445	8222	10214
446	8236	10189
447	8250	10165
448	8264	10142
449	8279	10118
450	8292	10094
451	8305	10069
452	8319	10046
453	8333	10021
454	8352	10004
455	8367	9982
456	8384	9961
457	8404	9946
458	8423	9928
459	8449	9918
460	8464	9896
461	8498	9896
462	8517	9878
463	8536	9861
464	8554	9842
465	8571	9822
466	8590	9804
467	8607	9784
468	8624	9764
469	8640	9743
470	8656	9722
471	8672	9700
472	8687	9679
473	8700	9654
474	8716	9634
475	8732	9613
476	8748	9592
477	8761	9567
478	8776	9546
479	8796	9529
480	8816	9512
481	8835	9495
482	8856	9479
483	8874	9461
484	8894	9444
485	8914	9427
486	8932	9409
487	8949	9389
488	8966	9369
489	8989	9355
490	9013	9344
491	9041	9335
492	9059	9316
493	9080	9300
494	9096	9279
495	9110	9257
496	9123	9233
497	9136	9209
498	9149	9186
499	9162	9162
500	9175	9139
501	9189	9116
502	9202	9092
503	9216	9069
504	9234	9051
505	9253	9034
506	9271	9015
507	9290	8998
508	9310	8981
509	9329	8963
510	9348	8946
511	9367	8928
512	9390	8914
513	9411	8899
514	9431	8881
515	9449	8863
516	9468	8846
517	9487	8828
518	9505	8809
519	9522	8789
520	9536	8768
521	9551	8746
522	9566	8725
523	9582	8705
524	9598	8684
525	9613	8662
526	9631	8644
527	9646	8623
528	9660	8601
529	9676	8581
530	9689	8558
531	9704	8537
532	9719	8515
533	9732	8493
534	9745	8470
535	9759	8448
536	9773	8426
537	9785	8403
538	9798	8380
539	9812	8358
540	9825	8336
541	9838	8314
542	9851	8291
543	9865	8269
544	9880	8249
545	9899	8231
546	9917	8213
547	9937	8196
548	9954	8177
549	9970	8157
550	9985	8136
551	10004	8119
552	10022	8101
553	10052	8093
554	10084	8085
555	10114	8077
556	10133	8059
557	10149	8039
558	10166	8020
559	10186	8003
560	10202	7983
561	10219	7964
562	10235	7944
563	10251	7924
564	10267	7905
565	10282	7884
566	10299	7865
567	10318	7848
568	10338	7831
569	10358	7814
570	10378	7797
571	10400	7782
572	10420	7765
573	10446	7752
574	10460	7731
575	10478	7713
576	10497	7695
577	10516	7678
578	10535	7660
579	10553	7642
580	10574	7626
581	10593	7608
582	10611	7589
583	10641	7579
584	10658	7561
585	10677	7543
586	10697	7526
587	10710	7504
588	10723	7482
589	10736	7461
590	10751	7440
591	10764	7418
592	10778	7397
593	10794	7378
594	10809	7357
595	10823	7336
596	10846	7321
597	10864	7303
598	10882	7285
599	10895	7263
600	10912	7244
601	10930	7226
602	10948	7208
603	10968	7191
604	10989	7174
605	11006	7156
606	11024	7137
607	11045	7121
608	11063	7103
609	11081	7084
610	11094	7063
611	11117	7048
612	11135	7030
613	11153	7011
614	11168	6991
615	11185	6972
616	11220	6965
617	11247	6952
618	11268	6935
619	11286	6917
620	11304	6899
621	11322	6880
622	11340	6862
623	11355	6842
624	11369	6821
625	11386	6802
626	11405	6785
627	11423	6767
628	11442	6748
629	11459	6730
630	11477	6711
631	11496	6694
632	11508	6672
633	11525	6653
634	11540	6633
635	11554	6612
636	11567	6591
637	11580	6570
638	11593	6549
639	11605	6527
640	11618	6507
641	11632	6486
642	11649	6467
643	11661	6446
644	11674	6425
645	11687	6404
646	11699	6383
647	11713	6362
648	11730	6344
649	11746	6324
650	11764	6307
651	11785	6290
652	11803	6272
653	11821	6254
654	11839	6235
655	11869	6224
656	11892	6208
657	11909	6189
658	11924	6170
659	11942	6152
660	11960	6134
661	11979	6116
662	11997	6098
663	12016	6080
664	12046	6068
665	12060	6048
666	12078	6030
667	12098	6013
668	12117	5995
669	12134	5976
670	12148	5956
671	12164	5937
672	12184	5920
673	12203	5902
674	12220	5884
675	12236	5864
676	12250	5845
677	12265	5825
678	12278	5804
679	12292	5784
680	12306	5764
681	12320	5744
682	12334	5724
683	12348	5704
684	12361	5684
685	12373	5663
686	12389	5644
687	12403	5624
688	12416	5604
689	12432	5585
690	12448	5566
691	12461	5546
692	12475	5526
693	12489	5506
694	12502	5486
695	12516	5466
696	12531	5447
697	12545	5427
698	12558	5408
699	12571	5387
700	12586	5368
701	12598	5348
702	12611	5328
703	12623	5307
704	12636	5287
705	12650	5267
706	12663	5248
707	12677	5228
708	12691	5208
709	12708	5190
710	12728	5173
711	12747	5156
712	12765	5138
713	12785	5121
714	12802	5103
715	12818	5084
716	12841	5068
717	12858	5050
718	12871	5030
719	12890	5013
720	12909	4995
721	12927	4977
722	12946	4960
723	12963	4941
724	12982	4924
725	12999	4906
726	13016	4887
727	13030	4868
728	13048	4850
729	13066	4832
730	13085	4815
731	13103	4797
732	13119	4778
733	13133	4759
734	13146	4739
735	13159	4720
736	13173	4700
737	13186	4681
738	13200	4662
739	13220	4644
740	13241	4628
741	13257	4609
742	13271	4590
743	13284	4571
744	13298	4551
745	13312	4532
746	13326	4513
747	13341	4494
748	13356	4475
749	13370	4456
750	13383	4437
751	13396	4418
752	13411	4399
753	13424	4379
754	13438	4360
755	13453	4342
756	13466	4322
757	13479	4303
758	13492	4284
759	13507	4265
760	13586	4266
761	13654	4264
762	13820	4292
763	13861	4281
764	13901	4270
765	13915	4250
766	13932	4232
767	13947	4213
768	13959	4193
769	13974	4174
770	13989	4155
771	14003	4135
772	14017	4116
773	14031	4097
774	14044	4077
775	14057	4057
776	14070	4038
777	14084	4018
778	14097	3999
779	14111	3980
780	14125	3960
781	14137	3941
782	14157	3923
783	14171	3904
784	14184	3885
785	14197	3865
786	14211	3846
787	14225	3827
788	14239	3807
789	14252	3788
790	14269	3770
791	14286	3751
792	14306	3734
793	14320	3715
794	14333	3695
795	14346	3676
796	14360	3657
797	14374	3638
798	14387	3619
799	14400	3600
800	14412	3580
801	14426	3561
802	14440	3542
803	14453	3523
804	14468	3504
805	14480	3485
806	14494	3466
807	14509	3447
808	14526	3429
809	14540	3410
810	14558	3392
811	14575	3374
812	14593	3356
813	14613	3339
814	14633	3321
815	14660	3305
816	14682	3288
817	14700	3270
818	14714	3251
819	14730	3233
820	14745	3214
821	14760	3196
822	14773	3177
823	14788	3158
824	14804	3140
825	14819	3121
826	14832	3102
827	14847	3084
828	14861	3065
829	14876	3047
830	14891	3028
831	14907	3010
832	14923	2991
833	14940	2973
834	14957	2955
835	14975	2937
836	14991	2919
837	15006	2900
838	15022	2882
839	15038	2864
840	15059	2847
841	15080	2829
842	15098	2811
843	15116	2794
844	15129	2775
845	15147	2757
846	15163	2739
847	15184	2721
848	15204	2704
849	15224	2686
850	15244	2669
851	15260	2650
852	15274	2632
853	15287	2613
854	15302	2595
855	15319	2577
856	15341	2559
857	15360	2542
858	15380	2524
859	15395	2506
860	15409	2487
861	15422	2469
862	15438	2450
863	15452	2432
864	15464	2413
865	15477	2394
866	15491	2376
867	15506	2358
868	15520	2339
869	15536	2321
870	15550	2303
871	15563	2284
872	15576	2266
873	15591	2247
874	15605	2229
875	15621	2211
876	15637	2193
877	15650	2174
878	15664	2156
879	15679	2138
880	15693	2119
881	15706	2101
882	15721	2083
883	15734	2064
884	15749	2046
885	15763	2028
886	15780	2010
887	15794	1992
888	15808	1973
889	15821	1955
890	15840	1937
891	15853	1919
892	15866	1901
893	15879	1882
894	15893	1864
895	15906	1846
896	15921	1828
897	15935	1809
898	15948	1791
899	15962	1773
900	15983	1756
901	16003	1738
902	16018	1720
903	16034	1702
904	16050	1684
905	16068	1667
906	16084	1649
907	16097	1631
908	16116	1613
909	16133	1595
910	16148	1577
911	16162	1559
912	16182	1542
913	16194	1523
914	16209	1505
915	16224	1487
916	16237	1469
917	16250	1451
918	16265	1433
919	16279	1415
920	16293	1397
921	16306	1379
922	16321	1361
923	16334	1343
924	16348	1325
925	16362	1307
926	16380	1289
927	16396	1272
928	16414	1254
929	16430	1236
930	16444	1218
931	16459	1200
932	16481	1183
933	16501	1166
934	16519	1148
935	16537	1130
936	16557	1113
937	16578	1095
938	16595	1078
939	16611	1060
940	16628	1042
941	16642	1024
942	16655	1006
943	16668	988
944	16681	970
945	16695	953
946	16708	935
947	16721	917
948	16735	899
949	16748	881
950	16761	863
951	16775	845
952	16787	827
953	16803	810
954	16817	792
955	16830	774
956	16843	756
957	16859	739
958	16873	721
959	16886	703
960	16900	685
961	16913	668
962	16926	650
963	16939	632
964	16954	614
965	16969	597
966	16985	579
967	16998	561
968	17012	544
969	17026	526
970	17040	508
971	17053	491
